date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:18:13	250046/250046	---M-Z	200	added ('OK')	text/html	date:Tue,%2016%20Jun%202026%2009:23:23%20GMT	https://mainfolder.com/index.html	C:/My%20Web%20Sites/Jain2/mainfolder.com/index.html	(from )
17:18:13	94/94	---M-Z	200	added ('OK')	text/plain	date:Tue,%2016%20Jun%202026%2008:58:24%20GMT	https://mainfolder.com/robots.txt		(from )
17:18:13	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Wed,%2022%20Jul%202026%2011:48:26%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/Jain2/www.googletagmanager.com/gtm.15445.delayed	(from https://mainfolder.com/index.html)
17:18:13	16/16	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Jul%202026%2011:48:26%20GMT	https://mainfolder.com/favicon.ico	C:/My%20Web%20Sites/Jain2/mainfolder.com/favicon.ico	(from https://mainfolder.com/index.html)
17:18:14	4086/4086	---M--	200	added ('OK')	image/png	date:Tue,%2016%20Jun%202026%2008:58:29%20GMT	https://mainfolder.com/assets/img/favicons/apple-icon-57x57.png	C:/My%20Web%20Sites/Jain2/mainfolder.com/assets/img/favicons/apple-icon-57x57.png	(from https://mainfolder.com/index.html)
17:18:14	250046/250046	---M-Z	200	added ('OK')	text/html	date:Tue,%2016%20Jun%202026%2009:23:23%20GMT	https://mainfolder.com/	C:/My%20Web%20Sites/Jain2/mainfolder.com/index-2.html	(from https://mainfolder.com/index.html)
17:18:14	4437/4437	---M--	200	added ('OK')	image/png	date:Tue,%2016%20Jun%202026%2008:58:29%20GMT	https://mainfolder.com/assets/img/favicons/apple-icon-60x60.png	C:/My%20Web%20Sites/Jain2/mainfolder.com/assets/img/favicons/apple-icon-60x60.png	(from https://mainfolder.com/index.html)
17:18:14	5414/5414	---M--	200	added ('OK')	image/png	date:Tue,%2016%20Jun%202026%2008:58:29%20GMT	https://mainfolder.com/assets/img/favicons/apple-icon-72x72.png	C:/My%20Web%20Sites/Jain2/mainfolder.com/assets/img/favicons/apple-icon-72x72.png	(from https://mainfolder.com/index.html)
17:18:15	5853/5853	---M--	200	added ('OK')	image/png	date:Tue,%2016%20Jun%202026%2008:58:29%20GMT	https://mainfolder.com/assets/img/favicons/apple-icon-76x76.png	C:/My%20Web%20Sites/Jain2/mainfolder.com/assets/img/favicons/apple-icon-76x76.png	(from https://mainfolder.com/index.html)
17:18:15	9654/9654	---M--	200	added ('OK')	image/png	date:Tue,%2016%20Jun%202026%2008:58:29%20GMT	https://mainfolder.com/assets/img/favicons/apple-icon-114x114.png	C:/My%20Web%20Sites/Jain2/mainfolder.com/assets/img/favicons/apple-icon-114x114.png	(from https://mainfolder.com/index.html)
17:18:15	10206/10206	---M--	200	added ('OK')	image/png	date:Tue,%2016%20Jun%202026%2008:58:29%20GMT	https://mainfolder.com/assets/img/favicons/apple-icon-120x120.png	C:/My%20Web%20Sites/Jain2/mainfolder.com/assets/img/favicons/apple-icon-120x120.png	(from https://mainfolder.com/index.html)
